translation,reference,source,translation_clean,reference_clean,source_clean
 Don't say anything.,It doesn’t say anything.,Não diz nada., don t say anything ,it doesn t say anything ,não diz nada 
" A man dressed in black, synthesized a electrical guitar black.",A man dress in black tunes a black electric guitar.,Um homem vestido de preto sintoniza uma guitarra elétrica preta., a man dressed in black synthesized a electrical guitar black ,a man dress in black tunes a black electric guitar ,um homem vestido de preto sintoniza uma guitarra elétrica preta 
 The case is intriguing for the wise and wise.,The case was intriguing to the elderly and wise.,O caso era intrigante para os velhos e sábios., the case is intriguing for the wise and wise ,the case was intriguing to the elderly and wise ,o caso era intrigante para os velhos e sábios 
 The size of this line is playing the head around.,The great dancer is throwing her hair around.,A grande dançarina está jogando o cabelo ao redor, the size of this line is playing the head around ,the great dancer is throwing her hair around ,a grande dançarina está jogando o cabelo ao redor
 All human people talking ad hoc,Two persons talking in a dock.,Duas pessoas conversando em uma doca., all human people talking ad hoc,two persons talking in a dock ,duas pessoas conversando em uma doca 
 Iopian Cneegobic,About what?,Sobre o que?, iopian cneegobic,about what ,sobre o que 
 Now let's put all those news camera,Add an artist to my Duets.,Adicione o artista aos meus Duetos., now let s put all those news camera,add an artist to my duets ,adicione o artista aos meus duetos 
 A light scrub is outside a rubber plate installing and illuminated.,An electric scooter stands outside an electric advertising sign.,Uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada., a light scrub is outside a rubber plate installing and illuminated ,an electric scooter stands outside an electric advertising sign ,uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada 
 I always say that.,I always said that.,Eu sempre disse isso., i always say that ,i always said that ,eu sempre disse isso 
 We need to talk.,We need to talk.,Nós precisamos conversar., we need to talk ,we need to talk ,nós precisamos conversar 
" The main thing is wrapped up the mirrors, with the display around the first...ayı",All I say is spit it all out!,Tudo que eu digo é cuspi-los!, the main thing is wrapped up the mirrors with the display around the first ayı,all i say is spit it all out ,tudo que eu digo é cuspi los 
 Four young adults gathered at the library.,Four young adults gathered outside.,Quatro jovens adultos se reuniram ao ar livre, four young adults gathered at the library ,four young adults gathered outside ,quatro jovens adultos se reuniram ao ar livre
 A white lady sat on a carpet with a ball in her hand.,A lady in white sits on a rug with a ball in her hand.,Uma senhora de branco senta-se num tapete com uma bola na mão., a white lady sat on a carpet with a ball in her hand ,a lady in white sits on a rug with a ball in her hand ,uma senhora de branco senta se num tapete com uma bola na mão 
 Ok lord,"Well, what is that?","Bem, o que é isso?", ok lord,well what is that ,bem o que é isso 
" To do this, it is not necessary to be admired by the Proveids.","To do that, it’s not necessary to be admired, just enjoy it.","Para fazer isso, não é necessário ser admirado, apenas aproveite.", to do this it is not necessary to be admired by the proveids ,to do that it s not necessary to be admired just enjoy it ,para fazer isso não é necessário ser admirado apenas aproveite 
 The strange thing seems to be the satisfaction with the answer.,The stranger seemed happy with the answer.,O estranho pareceu satisfeito com a resposta., the strange thing seems to be the satisfaction with the answer ,the stranger seemed happy with the answer ,o estranho pareceu satisfeito com a resposta 
 Control a master process of multiplication and active connection.,Controlling a master process of active connection multiplexing.,Controlar um processo mestre de multiplexação de conexão ativa., control a master process of multiplication and active connection ,controlling a master process of active connection multiplexing ,controlar um processo mestre de multiplexação de conexão ativa 
 So break from green cameira n..,White god playing in the snow.,Cão branco brincando na neve., so break from green cameira n ,white god playing in the snow ,cão branco brincando na neve 
" In the face, the flesh is enough.","On the bone, flesh is enough.","No osso, a carne é suficiente.", in the face the flesh is enough ,on the bone flesh is enough ,no osso a carne é suficiente 
 they are safely effaced fast,Quick jumps are rarely accomplished.,Saltos rápidos raramente são atingidos., they are safely effaced fast,quick jumps are rarely accomplished ,saltos rápidos raramente são atingidos 
 How many years has it been?,How old is Ellie Goulding?,Quantos anos tem Ellie Goulding?, how many years has it been ,how old is ellie goulding ,quantos anos tem ellie goulding 
" Just in peace, in silence.",Just standing in silence.,Apenas em pé em silêncio, just in peace in silence ,just standing in silence ,apenas em pé em silêncio
 The nurse went to the nurse's house.,The nurse walked through the infirmary.,A enfermeira andou pela enfermaria., the nurse went to the nurse s house ,the nurse walked through the infirmary ,a enfermeira andou pela enfermaria 
 it may nurte part of this passage,Can request participation.,Pode solicitar participação, it may nurte part of this passage,can request participation ,pode solicitar participação
 it does not be a stick without his head rising from a hill,Don't be a baker if your head is made of butter.,Não seja padeiro se a sua cabeça for de manteiga., it does not be a stick without his head rising from a hill,don t be a baker if your head is made of butter ,não seja padeiro se a sua cabeça for de manteiga 
 University does not accept students with low notes.,The university doesn’t accept students with low grades.,A universidade não aceita alunos com notas baixa., university does not accept students with low notes ,the university doesn t accept students with low grades ,a universidade não aceita alunos com notas baixa 
 Now you will be able to get to 1 veredito.,Now you will retire to reach a verdict.,Agora você vai se aposentar para chegar a um veredicto., now you will be able to get to 1 veredito ,now you will retire to reach a verdict ,agora você vai se aposentar para chegar a um veredicto 
 I thought about the daughter of the mercador and I was sure that she probably married.,"He though about the merchant’s daughter, and he was certain that she probably got married.",Pensou na filha do mercador? e tinha certeza de que ela provavelmente se casara., i thought about the daughter of the mercador and i was sure that she probably married ,he though about the merchant s daughter and he was certain that she probably got married ,pensou na filha do mercador e tinha certeza de que ela provavelmente se casara 
 But the girl was right that she was looking at them.,But the boy was sure that he was looking at them.,Mas o menino estava certo de que ele estava olhando para eles., but the girl was right that she was looking at them ,but the boy was sure that he was looking at them ,mas o menino estava certo de que ele estava olhando para eles 
 She couldn't find energy to comment on everything.,She didn’t find the energy to talk about everything.,Ela não conseguia encontrar energia para comentar sobre tudo., she couldn t find energy to comment on everything ,she didn t find the energy to talk about everything ,ela não conseguia encontrar energia para comentar sobre tudo 
 The view in great quantities is very popular.,Bulk shipping is very popular.,O envio em grandes quantidades é muito popular., the view in great quantities is very popular ,bulk shipping is very popular ,o envio em grandes quantidades é muito popular 
 What kind of appearance is this?,What kind of apparition is that?,Que tipo de aparição é essa?, what kind of appearance is this ,what kind of apparition is that ,que tipo de aparição é essa 
" A woman has a elegant dress, is worn in front of an tropical tree.",A woman in a fancy dress is posing in front of a tropical tree.,Uma mulher em um vestido elegante está posando na frente de uma árvore tropical., a woman has a elegant dress is worn in front of an tropical tree ,a woman in a fancy dress is posing in front of a tropical tree ,uma mulher em um vestido elegante está posando na frente de uma árvore tropical 
" Very well, he answered.","“Very well”, he replied.",Muito bem? ”ele respondeu., very well he answered , very well he replied ,muito bem ele respondeu 
 You can see a woman just hang her high you,An older woman blowing candles in a cake.,Uma mulher mais velha? soprando as velas em um bolo., you can see a woman just hang her high you,an older woman blowing candles in a cake ,uma mulher mais velha soprando as velas em um bolo 
" To fulfil his precautions, we must always seek to keep him one guide of Psalms, Your grit.",People diagnosed with diabetes should always keep a syringe with insulin at hand.,Os diabéticos devem sempre manter uma seringa de insulina à mão., to fulfil his precautions we must always seek to keep him one guide of psalms your grit ,people diagnosed with diabetes should always keep a syringe with insulin at hand ,os diabéticos devem sempre manter uma seringa de insulina à mão 
" In a city of Asian and Asian, moved, two women walk and talk together.","In a busy Asian city, two women walk and talk together.","Em uma cidade asiática movimentada, duas mulheres andam e conversam juntas.", in a city of asian and asian moved two women walk and talk together ,in a busy asian city two women walk and talk together ,em uma cidade asiática movimentada duas mulheres andam e conversam juntas 
 The total number in the congress will be at least 390.,The total number at the congress will be at least three hundred and ninety.,O número total no congresso será de pelo menos trezentos e noventa., the total number in the congress will be at least 390 ,the total number at the congress will be at least three hundred and ninety ,o número total no congresso será de pelo menos trezentos e noventa 
 See? The manual is crossing the street.,See Manuel crossing the street.,Veja! Há Manuel atravessando a rua., see the manual is crossing the street ,see manuel crossing the street ,veja há manuel atravessando a rua 
 Interpretation of complex and extensive institutions related to the professional field.,"Interpreting long and complex instructions, related to the professional field.","Interpretar instruções extensas e complexas, relacionadas ao campo profissional.", interpretation of complex and extensive institutions related to the professional field ,interpreting long and complex instructions related to the professional field ,interpretar instruções extensas e complexas relacionadas ao campo profissional 
 Having fun or lying down is already a mess.,Have you been to Singapore?,Você já esteve em Singapura?, having fun or lying down is already a mess ,have you been to singapore ,você já esteve em singapura 
 You should have learned that my height as women using decodes are only sharp,You should have learned that miniatures of women using cleavage are simply baits.,Você deveria ter aprendido que miniaturas com mulheres usando decotes são apenas iscas., you should have learned that my height as women using decodes are only sharp,you should have learned that miniatures of women using cleavage are simply baits ,você deveria ter aprendido que miniaturas com mulheres usando decotes são apenas iscas 
 He does not have neither understands its compressor,I’m not in a hurry.,Eu não estou com pressa., he does not have neither understands its compressor,i m not in a hurry ,eu não estou com pressa 
 Theimmembers weakened and advocated their content.,The glass broke and spilled its contents.,A taça se quebrou e derramou seu conteúdo., theimmembers weakened and advocated their content ,the glass broke and spilled its contents ,a taça se quebrou e derramou seu conteúdo 
 Today I watched until one and then it happened.,Ogilvy saw up to one and then gave up.,Ogilvy assistiu até um e depois desistiu., today i watched until one and then it happened ,ogilvy saw up to one and then gave up ,ogilvy assistiu até um e depois desistiu 
 and I'll see you later,I think it’s great!,E eu acho ótimo!, and i ll see you later,i think it s great ,e eu acho ótimo 
 All citizens and the people who visit our cities are studying and working there.,All citizens and those that visit our city are studying or working there.,Todos os cidadãos e aqueles que visitam nossa cidade estão estudando ou trabalhando lá., all citizens and the people who visit our cities are studying and working there ,all citizens and those that visit our city are studying or working there ,todos os cidadãos e aqueles que visitam nossa cidade estão estudando ou trabalhando lá 
" The good thing is to arrive in 5 minutes, unless it is the time to be wrong.","The cable car will arrive in five minutes, unless this timetable is wrong.","O bonde chegará em cinco minutos, a menos que este horário esteja errado.", the good thing is to arrive in 5 minutes unless it is the time to be wrong ,the cable car will arrive in five minutes unless this timetable is wrong ,o bonde chegará em cinco minutos a menos que este horário esteja errado 
 the time toand off if only in half beat,I’m afraid that this event is by invitation only sir.,Temo que este evento seja apenas por convite? senhor., the time toand off if only in half beat,i m afraid that this event is by invitation only sir ,temo que este evento seja apenas por convite senhor 
 It has the priorities being pulled down.,"Rainy year, happy farmer.","Ano chuvoso, agricultor feliz.", it has the priorities being pulled down ,rainy year happy farmer ,ano chuvoso agricultor feliz 
" These are the past, related to the sacrament of Eucarixia.",These are the quotes related to the sacrament of the Eucharist.,Estas são passagens relacionadas ao sacramento da Eucaristia., these are the past related to the sacrament of eucarixia ,these are the quotes related to the sacrament of the eucharist ,estas são passagens relacionadas ao sacramento da eucaristia 
 our battery intake advised us toRhett a lot of vibration,Drum sounds echoed through the halls of the dorm.,Sons de bateria ecoaram pelos corredores do dormitório., our battery intake advised us torhett a lot of vibration,drum sounds echoed through the halls of the dorm ,sons de bateria ecoaram pelos corredores do dormitório 
 Some people are walking around the distance from a small city.,Some people walking in the distance in a small town.,Algumas pessoas andando na distância de uma pequena cidade., some people are walking around the distance from a small city ,some people walking in the distance in a small town ,algumas pessoas andando na distância de uma pequena cidade 
" For Joyce's words, I agree with you.",Angry words stir the fire like the wind.,Palavras furiosas abanam o fogo como o vento., for joyce s words i agree with you ,angry words stir the fire like the wind ,palavras furiosas abanam o fogo como o vento 
" In the same way, a patent can ask for, with the design of similar products.","In this way, a patent can prevent the competitors from developing similar products.","Da mesma forma, uma patente pode impedir que concorrentes desenvolvam produtos similares.", in the same way a patent can ask for with the design of similar products ,in this way a patent can prevent the competitors from developing similar products ,da mesma forma uma patente pode impedir que concorrentes desenvolvam produtos similares 
 A man first sent in a train from the subway.,A depressed man sitting in a subway train.,Um homem deprimido sentado em um trem do metrô., a man first sent in a train from the subway ,a depressed man sitting in a subway train ,um homem deprimido sentado em um trem do metrô 
" It seems like a market of farmers, some tables with several items exibiled.",It looks like a farmers market. Some tables with several items exhibited.,Parece um mercado de agricultores? algumas tabelas com vários itens exibidos., it seems like a market of farmers some tables with several items exibiled ,it looks like a farmers market some tables with several items exhibited ,parece um mercado de agricultores algumas tabelas com vários itens exibidos 
" According to the recipe, we need to demonstrate the light.",According to the recipe we need light mustard.,"De acordo com a receita, precisamos de mostarda leve.", according to the recipe we need to demonstrate the light ,according to the recipe we need light mustard ,de acordo com a receita precisamos de mostarda leve 
" Finally, two things are missing.","Finally, two things stand out.","Finalmente, duas coisas se destacam.", finally two things are missing ,finally two things stand out ,finalmente duas coisas se destacam 
" a cowboy from Sputra, a bese座, in a row",A cowboy rides a calf at a rodeo.,Um cowboy disputa um bezerro em um rodeio., a cowboy from sputra a bese座 in a row,a cowboy rides a calf at a rodeo ,um cowboy disputa um bezerro em um rodeio 
" A crowd member must be frequent and busy, reaching behind with a board wrapped around a bucket.",A blond boy wearing a green shirt running after a flying toy.,Um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador., a crowd member must be frequent and busy reaching behind with a board wrapped around a bucket ,a blond boy wearing a green shirt running after a flying toy ,um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador 
 There is a motorcyclist walking on bike night by the streets.,There's a biker riding his bike at night through the streets.,Há um motociclista andando de bicicleta à noite pelas ruas., there is a motorcyclist walking on bike night by the streets ,there s a biker riding his bike at night through the streets ,há um motociclista andando de bicicleta à noite pelas ruas 
 Two women work at Seizu Laptops.,Two women work on their laptops.,Duas mulheres trabalham em seus laptops., two women work at seizu laptops ,two women work on their laptops ,duas mulheres trabalham em seus laptops 
" The wolf and the dragon are not long, but they understand.","The old donkey doesn't stretch, but understands.","O velho burro não se alonga, mas entende.", the wolf and the dragon are not long but they understand ,the old donkey doesn t stretch but understands ,o velho burro não se alonga mas entende 
 How did this happen?,How did this happen?,Como isso aconteceu?, how did this happen ,how did this happen ,como isso aconteceu 
 Two tourists are treating a patient to the book.,Two rescuers treating a patient out in the open.,Dois socorristas estão tratando um paciente ao ar livre., two tourists are treating a patient to the book ,two rescuers treating a patient out in the open ,dois socorristas estão tratando um paciente ao ar livre 
 The men are working in bicycles and offices.,The men are working on bicycles in a shop.,Os homens estão trabalhando em bicicletas em uma oficina, the men are working in bicycles and offices ,the men are working on bicycles in a shop ,os homens estão trabalhando em bicicletas em uma oficina
 People buy them in a store.,People shopping in a store.,Pessoas às compras em uma loja., people buy them in a store ,people shopping in a store ,pessoas às compras em uma loja 
 A woman helping another woman with a website and a computer.,A woman helping another woman with a website in a computer.,Uma mulher ajudando outra mulher com um site em um computador., a woman helping another woman with a website and a computer ,a woman helping another woman with a website in a computer ,uma mulher ajudando outra mulher com um site em um computador 
 Do you know where she lives?,Do you know where she lives?,Você sabe onde ela mora?, do you know where she lives ,do you know where she lives ,você sabe onde ela mora 
 If only the saxophone was amazing.,Your saxophone solo was amazing.,Seu solo de saxofone foi incrível., if only the saxophone was amazing ,your saxophone solo was amazing ,seu solo de saxofone foi incrível 
 I just did it now.,I only know now.,Eu só sei agora., i just did it now ,i only know now ,eu só sei agora 
 The victory was born on the 19th and 70th year.,Victoria was born on the 1970’s.,Victoria nasceu no décimo nono anos setenta., the victory was born on the 19th and 70th year ,victoria was born on the 1970 s ,victoria nasceu no décimo nono anos setenta 
 Support the societivism,Sport. Associativism.,Desporto. Associativismo., support the societivism,sport associativism ,desporto associativismo 
 What do you want?,What do you want?,O que você quer?, what do you want ,what do you want ,o que você quer 
" Tomorrow, participating in the conference of the project's press.",Morning working at the project’s press conference.,Manhã participando da conferência de imprensa do projeto, tomorrow participating in the conference of the project s press ,morning working at the project s press conference ,manhã participando da conferência de imprensa do projeto
 the autofocus's beet has worked extremely well,Obtain a valid work permit.,Obter um certificado de trabalho válido, the autofocus s beet has worked extremely well,obtain a valid work permit ,obter um certificado de trabalho válido
 We clean the tabuleiro.,We cleaned the board.,Nós limpamos o tabuleiro., we clean the tabuleiro ,we cleaned the board ,nós limpamos o tabuleiro 
 Agriculture was a very important achievement in the history of humanity.,Agriculture was a very important achievement in the history of mankind.,A agricultura foi uma conquista muito importante na história da humanidade., agriculture was a very important achievement in the history of humanity ,agriculture was a very important achievement in the history of mankind ,a agricultura foi uma conquista muito importante na história da humanidade 
 The law is exactly the size I always wanted it to be.,The store is exactly the size that I always wanted it to be.,A loja é exatamente do tamanho que eu sempre quis que fosse., the law is exactly the size i always wanted it to be ,the store is exactly the size that i always wanted it to be ,a loja é exatamente do tamanho que eu sempre quis que fosse 
" He moved near the building, but all of them could hear.","He moved about? invisible, but everyone could hear him.","Ele moveu cerca de? invisível, mas todos puderam ouvi-lo.", he moved near the building but all of them could hear ,he moved about invisible but everyone could hear him ,ele moveu cerca de invisível mas todos puderam ouvi lo 
 And the,Mozilla Firefox.,Mozilla Firefox., and the,mozilla firefox ,mozilla firefox 
" And if I thought about it too, it could not be true.","That’s what I thought too, but that can’t be true.","Isso é o que eu pensei também?, mas pode não ser verdade.", and if i thought about it too it could not be true ,that s what i thought too but that can t be true ,isso é o que eu pensei também mas pode não ser verdade 
 not to be shed leave what mistless and an barely whom하는り people,"“Don’t give in to your fears”, said the alchemist, in a strangely kind voice.","""Não ceda aos seus medos?"" disse o alquimista? em uma voz estranhamente gentil.", not to be shed leave what mistless and an barely whom하는り people, don t give in to your fears said the alchemist in a strangely kind voice , não ceda aos seus medos disse o alquimista em uma voz estranhamente gentil 
" 3 beautiful girls, Поfuing a valoticsügino free ​​froze and pene名","Three dogs, one of them holding a red Frisbee, stand in the snow.",Três cães? um segurando um Frisbee vermelho? em pé na neve., 3 beautiful girls поfuing a valoticsügino free ​​froze and pene名,three dogs one of them holding a red frisbee stand in the snow ,três cães um segurando um frisbee vermelho em pé na neve 
" Where are you, Roberto?",Where are you from Roberto?,De onde você é Roberto., where are you roberto ,where are you from roberto ,de onde você é roberto 
 Why don't we look for your rooms?,Why don’t we look in their rooms?,Por que não procuramos em seus quartos?, why don t we look for your rooms ,why don t we look in their rooms ,por que não procuramos em seus quartos 
 The editor costs little things mostly in that metal alors pen hidden inside the ink Duke arm kit.,Brown-haired man holding a toy sloth.,Homem de cabelos castanho segurando uma preguiça de brinquedo., the editor costs little things mostly in that metal alors pen hidden inside the ink duke arm kit ,brown haired man holding a toy sloth ,homem de cabelos castanho segurando uma preguiça de brinquedo 
" It's like finding problems, so read carefully the instructions.","It’s common to come across issues, so read the instructions carefully.","É comum encontrar problemas?, então leia atentamente as instruções.", it s like finding problems so read carefully the instructions ,it s common to come across issues so read the instructions carefully ,é comum encontrar problemas então leia atentamente as instruções 
" This makes us, therefore, a very defined field in relation to the rest of the passages.",This therefore leaves us a well-defined field regarding the rest of the tickets.,"Isso nos deixa, portanto, um campo bem definido em relação ao resto das passagens.", this makes us therefore a very defined field in relation to the rest of the passages ,this therefore leaves us a well defined field regarding the rest of the tickets ,isso nos deixa portanto um campo bem definido em relação ao resto das passagens 
 You follow him live.,You skinned him alive.,Você esfolou ele vivo., you follow him live ,you skinned him alive ,você esfolou ele vivo 
 The children blink on the street on the water jet of a large machine.,Kids play on the street under a jet of water coming from a large machine.,As crianças brincam na rua sob um jato de água de uma máquina grande., the children blink on the street on the water jet of a large machine ,kids play on the street under a jet of water coming from a large machine ,as crianças brincam na rua sob um jato de água de uma máquina grande 
 Close the door.,Close gate.,Fechar portão., close the door ,close gate ,fechar portão 
 Make a search on Google for white cats,Do a Google search for white cats.,Faça uma busca no Google por gatos brancos., make a search on google for white cats,do a google search for white cats ,faça uma busca no google por gatos brancos 
 All the sport in the country and in the world is here.,All about sports in the country and the world is here.,Todo o desporto do país e do mundo está aqui., all the sport in the country and in the world is here ,all about sports in the country and the world is here ,todo o desporto do país e do mundo está aqui 
 It's still a long time.,There’s still plenty of time.,Ainda há muito tempo., it s still a long time ,there s still plenty of time ,ainda há muito tempo 
 A silhouette of a pair of pair of shoulders to the sun.,A silhouette of a figure in a parachute at sunset.,Uma silhueta de uma figura de paraquedas ao pôr do sol., a silhouette of a pair of pair of shoulders to the sun ,a silhouette of a figure in a parachute at sunset ,uma silhueta de uma figura de paraquedas ao pôr do sol 
 Cruising your own friends.,Crossing their own friends.,Cruzando seus próprios amigos., cruising your own friends ,crossing their own friends ,cruzando seus próprios amigos 
 Three best friends who appreciated a visit from a lake.,Three best friends appreciating a lake view.,Três melhores amigos que apreciam a vista de um lago., three best friends who appreciated a visit from a lake ,three best friends appreciating a lake view ,três melhores amigos que apreciam a vista de um lago 
 It's already late.,It’s too late already.,Já é tarde demais., it s already late ,it s too late already ,já é tarde demais 
 I want to pay the bill.,I want to pay the bill.,eu quero pagar a conta, i want to pay the bill ,i want to pay the bill ,eu quero pagar a conta
 How should I know?,How should I know?,Como devo saber?, how should i know ,how should i know ,como devo saber 
 They will never let us go today.,They will never close us today!,Eles nunca vão nos fechar hoje!, they will never let us go today ,they will never close us today ,eles nunca vão nos fechar hoje 
 It is the work of the Aquemists.,It’s the master work of alchemists.,É o trabalho mestre dos alquimistas., it is the work of the aquemists ,it s the master work of alchemists ,é o trabalho mestre dos alquimistas 
 Learn to play today's Cifra.,Learn to play the Today’s chords.,Aprenda a tocar a cifra de Hoje., learn to play today s cifra ,learn to play the today s chords ,aprenda a tocar a cifra de hoje 
 My friend from NewD youtubers LAF rests for this morning.,My girlfriend slept under a tree this morning.,Minha namorada dormiu debaixo de uma árvore esta manhã., my friend from newd youtubers laf rests for this morning ,my girlfriend slept under a tree this morning ,minha namorada dormiu debaixo de uma árvore esta manhã 
 He remembered the past.,He remembered the past.,Ele lembrou do passado., he remembered the past ,he remembered the past ,ele lembrou do passado 
 Designing at small venues more beautiful than you've faced,Dozens of the most beautiful small houses that you’ve ever seen.,Dezenas das pequenas casas mais lindas que você já viu., designing at small venues more beautiful than you ve faced,dozens of the most beautiful small houses that you ve ever seen ,dezenas das pequenas casas mais lindas que você já viu 
 The memory is the treasure of the mind.,Memory is the treasure of the mind.,A memória é o tesouro da mente., the memory is the treasure of the mind ,memory is the treasure of the mind ,a memória é o tesouro da mente 
 Using水 plants AND technology...,Build business and technology contacts.,Acumular conexões empresariais e tecnologia, using水 plants and technology ,build business and technology contacts ,acumular conexões empresariais e tecnologia
 The boy began to finish in the rain.,The boy started to dig in the dune.,O menino começou a cavar na duna., the boy began to finish in the rain ,the boy started to dig in the dune ,o menino começou a cavar na duna 
 What is the method in which you need to identify?,What is the benefit of the method in terms of identification precision?,Qual é o benefício do método em termos de precisão de identificação?, what is the method in which you need to identify ,what is the benefit of the method in terms of identification precision ,qual é o benefício do método em termos de precisão de identificação 
 and the Church is in separate by a reason.,Church and State are separated for a reason.,Igreja e Estado são separados por um motivo., and the church is in separate by a reason ,church and state are separated for a reason ,igreja e estado são separados por um motivo 
 I'm going to rest now,Where I’m I now?,Onde eu estou agora?, i m going to rest now,where i m i now ,onde eu estou agora 
 2 machines operate 20 feet,Two boys pulling a cart.,Dois meninos puxando uma carroça., 2 machines operate 20 feet,two boys pulling a cart ,dois meninos puxando uma carroça 
 Water against sand,Gold doesn’t bleed.,O ouro não sangra., water against sand,gold doesn t bleed ,o ouro não sangra 
" And to do that, you need money.","And to do that, you need money.",E para fazer isso? você precisa de dinheiro., and to do that you need money ,and to do that you need money ,e para fazer isso você precisa de dinheiro 
 Turn myeld,"Then, a war came.",Então veio uma guerra., turn myeld,then a war came ,então veio uma guerra 
 You would like to be a saint?,Would you like a seal?,Você gostaria de um selo?, you would like to be a saint ,would you like a seal ,você gostaria de um selo 
 How many games to 4G?,And about the food problem?,E quanto ao problema alimentar?, how many games to 4g ,and about the food problem ,e quanto ao problema alimentar 
 You probably saw the same thing.,Most likely you’ve already seen the same thing.,Muito provavelmente você já viu a mesma coisa., you probably saw the same thing ,most likely you ve already seen the same thing ,muito provavelmente você já viu a mesma coisa 
 5 women involved in a football game,Five women engaged in a soccer game.,Cinco mulheres envolvidas em um jogo de futebol., 5 women involved in a football game,five women engaged in a soccer game ,cinco mulheres envolvidas em um jogo de futebol 
 Two established works in a within a month away aid.,Two young men sitting in a table and laughing.,Dois jovens sentados em uma mesa e sorrindo., two established works in a within a month away aid ,two young men sitting in a table and laughing ,dois jovens sentados em uma mesa e sorrindo 
 someone's going in there,A man and a woman sitting in a table.,Um homem e uma mulher sentada em uma mesa., someone s going in there,a man and a woman sitting in a table ,um homem e uma mulher sentada em uma mesa 
 A child uses a young Salesforce avenue whileすごい 3 doubling engines are temporary.,A child using a red jumper while holding three Pixar toys.,Uma criança usa um jumper vermelho enquanto segura três brinquedos da Pixar., a child uses a young salesforce avenue whileすごい 3 doubling engines are temporary ,a child using a red jumper while holding three pixar toys ,uma criança usa um jumper vermelho enquanto segura três brinquedos da pixar 
 Garota enters the first Bygua saloon with direct skin and recoillCry,Girls in swimsuits holding hands and jumping in the water.,Garotas em trajes de banho? de mãos dadas e pulando na água., garota enters the first bygua saloon with direct skin and recoillcry,girls in swimsuits holding hands and jumping in the water ,garotas em trajes de banho de mãos dadas e pulando na água 
 A woman is being persecuted for a child in the beach while a man is looking at her.,"A woman is being chased by a kid on the beach, while a man looks.","Uma mulher está sendo perseguida por uma criança na praia, enquanto um homem olha.", a woman is being persecuted for a child in the beach while a man is looking at her ,a woman is being chased by a kid on the beach while a man looks ,uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha 
 a woman beating something like a bubble cap coat in the floor,"A woman hitting something with a rock, with a guinea pig in the background.",Uma mulher batendo algo com uma rocha? com uma cobaia no fundo., a woman beating something like a bubble cap coat in the floor,a woman hitting something with a rock with a guinea pig in the background ,uma mulher batendo algo com uma rocha com uma cobaia no fundo 
" Is there a group that is dedicated to specialists who represent, who believe and transmit?","Is there an identifiable group of experts that represent you, trust you and transmit you?","Existe um grupo identificável de especialistas que a representam, que acreditam e transmitem?", is there a group that is dedicated to specialists who represent who believe and transmit ,is there an identifiable group of experts that represent you trust you and transmit you ,existe um grupo identificável de especialistas que a representam que acreditam e transmitem 
 Man is running at a knee...,A man riding a house in a rodeo.,Um homem montando um cavalo em um rodeio., man is running at a knee ,a man riding a house in a rodeo ,um homem montando um cavalo em um rodeio 
" Congratulations. I give you suffering, but rarely known at all.","The damage you suffer can make you wiser, but rarely richer.","Dano sofrido faz você saber, mas raramente rico.", congratulations i give you suffering but rarely known at all ,the damage you suffer can make you wiser but rarely richer ,dano sofrido faz você saber mas raramente rico 
 And no doubt sobre the mod as upwind Transied by,No doubts about how the wind blows;,Nenhuma dúvida sobre o modo como o vento sopra., and no doubt sobre the mod as upwind transied by,no doubts about how the wind blows ,nenhuma dúvida sobre o modo como o vento sopra 
 The Echinostro de Otono fell directly into his university.,The autumn equinox fell right on his birthday.,O equinócio de outono caiu diretamente em seu aniversário., the echinostro de otono fell directly into his university ,the autumn equinox fell right on his birthday ,o equinócio de outono caiu diretamente em seu aniversário 
 The young boy is falling in the snow with another girl in the background.,A young boy falling in the snow with another boy in the background.,um jovem rapaz caindo na neve com outro menino no fundo, the young boy is falling in the snow with another girl in the background ,a young boy falling in the snow with another boy in the background ,um jovem rapaz caindo na neve com outro menino no fundo
 Because this researcher can't check his facts.,Why can’t that researcher check his facts?,Por que esse pesquisador não pode checar seus fatos?, because this researcher can t check his facts ,why can t that researcher check his facts ,por que esse pesquisador não pode checar seus fatos 
 All of us hope that the star is right.,We all hope that I’m right.,Todos nós esperamos que eu esteja certo., all of us hope that the star is right ,we all hope that i m right ,todos nós esperamos que eu esteja certo 
 2 emergency remove the control measurest our vice,A girl with a purple shirt waters the lawn.,Uma rapariga com uma camisa roxa? molha a grama., 2 emergency remove the control measurest our vice,a girl with a purple shirt waters the lawn ,uma rapariga com uma camisa roxa molha a grama 
 A steam repair in eco öziatik,A girl wearing traditional Asian clothing eats a meal.,Uma rapariga vestiu-se na roupa asiática tradicional que come uma refeição., a steam repair in eco öziatik,a girl wearing traditional asian clothing eats a meal ,uma rapariga vestiu se na roupa asiática tradicional que come uma refeição 
 The dog jumps over a Cerca de Arame and a dry passage.,A dog jumps over a wire fence in a dry pasture.,Um cão salta sobre uma cerca de arame em uma pastagem seca., the dog jumps over a cerca de arame and a dry passage ,a dog jumps over a wire fence in a dry pasture ,um cão salta sobre uma cerca de arame em uma pastagem seca 
