,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
803," O bonde chegará em 5 minutos, a menos que este horário esteja errado.","O bonde chegará em cinco minutos, a menos que este horário esteja errado.","The cable car will arrive in five minutes, unless this timetable is wrong.", o bonde chegará em 5 minutos a menos que este horário esteja errado ,o bonde chegará em cinco minutos a menos que este horário esteja errado ,the cable car will arrive in five minutes unless this timetable is wrong 
804, Temos que este evento seja apenas por convite? Senhor.,Temo que este evento seja apenas por convite? senhor.,I’m afraid that this event is by invitation only sir., temos que este evento seja apenas por convite senhor ,temo que este evento seja apenas por convite senhor ,i m afraid that this event is by invitation only sir 
805," ano chuvoso, agricultor feliz","Ano chuvoso, agricultor feliz.","Rainy year, happy farmer.", ano chuvoso agricultor feliz,ano chuvoso agricultor feliz ,rainy year happy farmer 
806, Estas são passagens relacionadas ao sacramento da Eucaristia.,Estas são passagens relacionadas ao sacramento da Eucaristia.,These are the quotes related to the sacrament of the Eucharist., estas são passagens relacionadas ao sacramento da eucaristia ,estas são passagens relacionadas ao sacramento da eucaristia ,these are the quotes related to the sacrament of the eucharist 
807, sons de bateria recorreram pelos corredores do dormitório,Sons de bateria ecoaram pelos corredores do dormitório.,Drum sounds echoed through the halls of the dorm., sons de bateria recorreram pelos corredores do dormitório,sons de bateria ecoaram pelos corredores do dormitório ,drum sounds echoed through the halls of the dorm 
808, algumas pessoas andando na distância de uma pequena cidade,Algumas pessoas andando na distância de uma pequena cidade.,Some people walking in the distance in a small town., algumas pessoas andando na distância de uma pequena cidade,algumas pessoas andando na distância de uma pequena cidade ,some people walking in the distance in a small town 
809, Palavras curiosas abandonando o fogo com o vento,Palavras furiosas abanam o fogo como o vento.,Angry words stir the fire like the wind., palavras curiosas abandonando o fogo com o vento,palavras furiosas abanam o fogo como o vento ,angry words stir the fire like the wind 
810," Da mesma forma, uma patente pode impedir que concorrentes desenvolva produtos similares.","Da mesma forma, uma patente pode impedir que concorrentes desenvolvam produtos similares.","In this way, a patent can prevent the competitors from developing similar products.", da mesma forma uma patente pode impedir que concorrentes desenvolva produtos similares ,da mesma forma uma patente pode impedir que concorrentes desenvolvam produtos similares ,in this way a patent can prevent the competitors from developing similar products 
811, Um homem deprimido sentado em um trem do metrô.,Um homem deprimido sentado em um trem do metrô.,A depressed man sitting in a subway train., um homem deprimido sentado em um trem do metrô ,um homem deprimido sentado em um trem do metrô ,a depressed man sitting in a subway train 
812, Parece um mercado de agricultores? Algumas tabelas com vários itens exibidos.,Parece um mercado de agricultores? algumas tabelas com vários itens exibidos.,It looks like a farmers market. Some tables with several items exhibited., parece um mercado de agricultores algumas tabelas com vários itens exibidos ,parece um mercado de agricultores algumas tabelas com vários itens exibidos ,it looks like a farmers market some tables with several items exhibited 
813," De acordo com a receita, precisamos de mostarda leve.","De acordo com a receita, precisamos de mostarda leve.",According to the recipe we need light mustard., de acordo com a receita precisamos de mostarda leve ,de acordo com a receita precisamos de mostarda leve ,according to the recipe we need light mustard 
814," Finalmente, duas coisas se destacam.","Finalmente, duas coisas se destacam.","Finally, two things stand out.", finalmente duas coisas se destacam ,finalmente duas coisas se destacam ,finally two things stand out 
815, Um cowboy disputa um bezerro em um rodeio.,Um cowboy disputa um bezerro em um rodeio.,A cowboy rides a calf at a rodeo., um cowboy disputa um bezerro em um rodeio ,um cowboy disputa um bezerro em um rodeio ,a cowboy rides a calf at a rodeo 
816, Um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador.,Um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador.,A blond boy wearing a green shirt running after a flying toy., um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador ,um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador ,a blond boy wearing a green shirt running after a flying toy 
817, Há um motociclista andando de bicicleta à noite pelas ruas.,Há um motociclista andando de bicicleta à noite pelas ruas.,There's a biker riding his bike at night through the streets., há um motociclista andando de bicicleta à noite pelas ruas ,há um motociclista andando de bicicleta à noite pelas ruas ,there s a biker riding his bike at night through the streets 
818, Duas mulheres trabalham em seus laptops.,Duas mulheres trabalham em seus laptops.,Two women work on their laptops., duas mulheres trabalham em seus laptops ,duas mulheres trabalham em seus laptops ,two women work on their laptops 
819," O velho burro não se alonga, mas entende.","O velho burro não se alonga, mas entende.","The old donkey doesn't stretch, but understands.", o velho burro não se alonga mas entende ,o velho burro não se alonga mas entende ,the old donkey doesn t stretch but understands 
820, Como isso aconteceu?,Como isso aconteceu?,How did this happen?, como isso aconteceu ,como isso aconteceu ,how did this happen 
821, Dois socorristas estão tratando um paciente ao ar livre.,Dois socorristas estão tratando um paciente ao ar livre.,Two rescuers treating a patient out in the open., dois socorristas estão tratando um paciente ao ar livre ,dois socorristas estão tratando um paciente ao ar livre ,two rescuers treating a patient out in the open 
822, Os homens estão trabalhando em bicicletas em uma oficina.,Os homens estão trabalhando em bicicletas em uma oficina,The men are working on bicycles in a shop., os homens estão trabalhando em bicicletas em uma oficina ,os homens estão trabalhando em bicicletas em uma oficina,the men are working on bicycles in a shop 
823, Pessoas às compras em uma loja,Pessoas às compras em uma loja.,People shopping in a store., pessoas às compras em uma loja,pessoas às compras em uma loja ,people shopping in a store 
824, uma mulher ajudando outra mulher com o site e o computador.,Uma mulher ajudando outra mulher com um site em um computador.,A woman helping another woman with a website in a computer., uma mulher ajudando outra mulher com o site e o computador ,uma mulher ajudando outra mulher com um site em um computador ,a woman helping another woman with a website in a computer 
825, Você sabe onde ela mora?,Você sabe onde ela mora?,Do you know where she lives?, você sabe onde ela mora ,você sabe onde ela mora ,do you know where she lives 
826, Seu solo de saxofone foi incrível!,Seu solo de saxofone foi incrível.,Your saxophone solo was amazing., seu solo de saxofone foi incrível ,seu solo de saxofone foi incrível ,your saxophone solo was amazing 
827, Eu só sei agora.,Eu só sei agora.,I only know now., eu só sei agora ,eu só sei agora ,i only know now 
828, Vitória nasceu no 19º ano 70.,Victoria nasceu no décimo nono anos setenta.,Victoria was born on the 1970’s., vitória nasceu no 19o ano 70 ,victoria nasceu no décimo nono anos setenta ,victoria was born on the 1970 s 
829," Desporto, associativismo.",Desporto. Associativismo.,Sport. Associativism., desporto associativismo ,desporto associativismo ,sport associativism 
830, O que você quer?,O que você quer?,What do you want?, o que você quer ,o que você quer ,what do you want 
831, Manhã participando da conferência da imprensa do projeto.,Manhã participando da conferência de imprensa do projeto,Morning working at the project’s press conference., manhã participando da conferência da imprensa do projeto ,manhã participando da conferência de imprensa do projeto,morning working at the project s press conference 
832, Obter um Certificado de Trabalho Válido,Obter um certificado de trabalho válido,Obtain a valid work permit., obter um certificado de trabalho válido,obter um certificado de trabalho válido,obtain a valid work permit 
833, Nós limpamos o tabuleiro.,Nós limpamos o tabuleiro.,We cleaned the board., nós limpamos o tabuleiro ,nós limpamos o tabuleiro ,we cleaned the board 
834, A agricultura foi uma conquista muito importante na história da humanidade.,A agricultura foi uma conquista muito importante na história da humanidade.,Agriculture was a very important achievement in the history of mankind., a agricultura foi uma conquista muito importante na história da humanidade ,a agricultura foi uma conquista muito importante na história da humanidade ,agriculture was a very important achievement in the history of mankind 
835, A loja é exatamente do tamanho que eu sempre quis que fosse.,A loja é exatamente do tamanho que eu sempre quis que fosse.,The store is exactly the size that I always wanted it to be., a loja é exatamente do tamanho que eu sempre quis que fosse ,a loja é exatamente do tamanho que eu sempre quis que fosse ,the store is exactly the size that i always wanted it to be 
836," Ele moveu cerca dele? Invisível, mas todos poderam ouvir.","Ele moveu cerca de? invisível, mas todos puderam ouvi-lo.","He moved about? invisible, but everyone could hear him.", ele moveu cerca dele invisível mas todos poderam ouvir ,ele moveu cerca de invisível mas todos puderam ouvi lo ,he moved about invisible but everyone could hear him 
837, Mozilla Firefox,Mozilla Firefox.,Mozilla Firefox., mozilla firefox,mozilla firefox ,mozilla firefox 
838," Isso é o que eu pensei também, mas pode não ser verdade.","Isso é o que eu pensei também?, mas pode não ser verdade.","That’s what I thought too, but that can’t be true.", isso é o que eu pensei também mas pode não ser verdade ,isso é o que eu pensei também mas pode não ser verdade ,that s what i thought too but that can t be true 
839," Não ceda os seus medos, disse o quimista em uma voz estranhamente gentil.","""Não ceda aos seus medos?"" disse o alquimista? em uma voz estranhamente gentil.","“Don’t give in to your fears”, said the alchemist, in a strangely kind voice.", não ceda os seus medos disse o quimista em uma voz estranhamente gentil , não ceda aos seus medos disse o alquimista em uma voz estranhamente gentil , don t give in to your fears said the alchemist in a strangely kind voice 
840," 3 cães, um segurando um friso vermelho em pé na neve.",Três cães? um segurando um Frisbee vermelho? em pé na neve.,"Three dogs, one of them holding a red Frisbee, stand in the snow.", 3 cães um segurando um friso vermelho em pé na neve ,três cães um segurando um frisbee vermelho em pé na neve ,three dogs one of them holding a red frisbee stand in the snow 
841, De onde você é Roberto?,De onde você é Roberto.,Where are you from Roberto?, de onde você é roberto ,de onde você é roberto ,where are you from roberto 
842, Por que não procuramos em seus quartos?,Por que não procuramos em seus quartos?,Why don’t we look in their rooms?, por que não procuramos em seus quartos ,por que não procuramos em seus quartos ,why don t we look in their rooms 
843, Homem de cabelos castanhos segurando uma preguiça de brinquedo.,Homem de cabelos castanho segurando uma preguiça de brinquedo.,Brown-haired man holding a toy sloth., homem de cabelos castanhos segurando uma preguiça de brinquedo ,homem de cabelos castanho segurando uma preguiça de brinquedo ,brown haired man holding a toy sloth 
844, É comum encontrar problemas? Então leia atentamente as instruções.,"É comum encontrar problemas?, então leia atentamente as instruções.","It’s common to come across issues, so read the instructions carefully.", é comum encontrar problemas então leia atentamente as instruções ,é comum encontrar problemas então leia atentamente as instruções ,it s common to come across issues so read the instructions carefully 
845," Isso nos deixa, portanto, um campo bem definido em relação ao resto das passagens.","Isso nos deixa, portanto, um campo bem definido em relação ao resto das passagens.",This therefore leaves us a well-defined field regarding the rest of the tickets., isso nos deixa portanto um campo bem definido em relação ao resto das passagens ,isso nos deixa portanto um campo bem definido em relação ao resto das passagens ,this therefore leaves us a well defined field regarding the rest of the tickets 
846, Vocês falou ele vivo.,Você esfolou ele vivo.,You skinned him alive., vocês falou ele vivo ,você esfolou ele vivo ,you skinned him alive 
847, As crianças brincam na rua sob o jato de água de uma máquina grande.,As crianças brincam na rua sob um jato de água de uma máquina grande.,Kids play on the street under a jet of water coming from a large machine., as crianças brincam na rua sob o jato de água de uma máquina grande ,as crianças brincam na rua sob um jato de água de uma máquina grande ,kids play on the street under a jet of water coming from a large machine 
848, Fechar portão.,Fechar portão.,Close gate., fechar portão ,fechar portão ,close gate 
849, Faça uma busca no Google por gatos brancos.,Faça uma busca no Google por gatos brancos.,Do a Google search for white cats., faça uma busca no google por gatos brancos ,faça uma busca no google por gatos brancos ,do a google search for white cats 
850, Todo o desporto do país e do mundo está aqui.,Todo o desporto do país e do mundo está aqui.,All about sports in the country and the world is here., todo o desporto do país e do mundo está aqui ,todo o desporto do país e do mundo está aqui ,all about sports in the country and the world is here 
851, ainda há muito tempo.,Ainda há muito tempo.,There’s still plenty of time., ainda há muito tempo ,ainda há muito tempo ,there s still plenty of time 
852, Uma silhueta de uma figura de paraquedas ao pôr do sol.,Uma silhueta de uma figura de paraquedas ao pôr do sol.,A silhouette of a figure in a parachute at sunset., uma silhueta de uma figura de paraquedas ao pôr do sol ,uma silhueta de uma figura de paraquedas ao pôr do sol ,a silhouette of a figure in a parachute at sunset 
853, cruzando seus próprios amigos.,Cruzando seus próprios amigos.,Crossing their own friends., cruzando seus próprios amigos ,cruzando seus próprios amigos ,crossing their own friends 
854, Três melhores amigos que apreciam a vista de um lago.,Três melhores amigos que apreciam a vista de um lago.,Three best friends appreciating a lake view., três melhores amigos que apreciam a vista de um lago ,três melhores amigos que apreciam a vista de um lago ,three best friends appreciating a lake view 
855, Já é tarde demais.,Já é tarde demais.,It’s too late already., já é tarde demais ,já é tarde demais ,it s too late already 
856, Eu quero pagar a conta.,eu quero pagar a conta,I want to pay the bill., eu quero pagar a conta ,eu quero pagar a conta,i want to pay the bill 
857, Como eu devo saber?,Como devo saber?,How should I know?, como eu devo saber ,como devo saber ,how should i know 
858, Eles nunca vão nos fechar hoje.,Eles nunca vão nos fechar hoje!,They will never close us today!, eles nunca vão nos fechar hoje ,eles nunca vão nos fechar hoje ,they will never close us today 
859, É o trabalho mestre dos alquimistas.,É o trabalho mestre dos alquimistas.,It’s the master work of alchemists., é o trabalho mestre dos alquimistas ,é o trabalho mestre dos alquimistas ,it s the master work of alchemists 
860, Aprenda a tocar a cifra de hoje!,Aprenda a tocar a cifra de Hoje.,Learn to play the Today’s chords., aprenda a tocar a cifra de hoje ,aprenda a tocar a cifra de hoje ,learn to play the today s chords 
861, Minha namorada dormiu debaixo de uma árvore esta manhã.,Minha namorada dormiu debaixo de uma árvore esta manhã.,My girlfriend slept under a tree this morning., minha namorada dormiu debaixo de uma árvore esta manhã ,minha namorada dormiu debaixo de uma árvore esta manhã ,my girlfriend slept under a tree this morning 
862, Ele lembrou do passado.,Ele lembrou do passado.,He remembered the past., ele lembrou do passado ,ele lembrou do passado ,he remembered the past 
863, Desenhas das pequenas casas mais lindas que você já viu.,Dezenas das pequenas casas mais lindas que você já viu.,Dozens of the most beautiful small houses that you’ve ever seen., desenhas das pequenas casas mais lindas que você já viu ,dezenas das pequenas casas mais lindas que você já viu ,dozens of the most beautiful small houses that you ve ever seen 
864, A memória é o tesouro da mente.,A memória é o tesouro da mente.,Memory is the treasure of the mind., a memória é o tesouro da mente ,a memória é o tesouro da mente ,memory is the treasure of the mind 
865, acumular conexões empresariais e tecnologia,Acumular conexões empresariais e tecnologia,Build business and technology contacts., acumular conexões empresariais e tecnologia,acumular conexões empresariais e tecnologia,build business and technology contacts 
866, O menino começou a cavar na duina.,O menino começou a cavar na duna.,The boy started to dig in the dune., o menino começou a cavar na duina ,o menino começou a cavar na duna ,the boy started to dig in the dune 
867, Qual é o benefício do método em termos de precisão de identificação?,Qual é o benefício do método em termos de precisão de identificação?,What is the benefit of the method in terms of identification precision?, qual é o benefício do método em termos de precisão de identificação ,qual é o benefício do método em termos de precisão de identificação ,what is the benefit of the method in terms of identification precision 
868, Igreja e Estado são separados por um motivo.,Igreja e Estado são separados por um motivo.,Church and State are separated for a reason., igreja e estado são separados por um motivo ,igreja e estado são separados por um motivo ,church and state are separated for a reason 
869, Onde eu estou agora?,Onde eu estou agora?,Where I’m I now?, onde eu estou agora ,onde eu estou agora ,where i m i now 
870, dois meninos puxando uma carroça,Dois meninos puxando uma carroça.,Two boys pulling a cart., dois meninos puxando uma carroça,dois meninos puxando uma carroça ,two boys pulling a cart 
871, O Ornão Sangue,O ouro não sangra.,Gold doesn’t bleed., o ornão sangue,o ouro não sangra ,gold doesn t bleed 
872, E para fazer isso você precisa de dinheiro.,E para fazer isso? você precisa de dinheiro.,"And to do that, you need money.", e para fazer isso você precisa de dinheiro ,e para fazer isso você precisa de dinheiro ,and to do that you need money 
873, Então veio uma guerra.,Então veio uma guerra.,"Then, a war came.", então veio uma guerra ,então veio uma guerra ,then a war came 
874, Você gostaria de um cedo?,Você gostaria de um selo?,Would you like a seal?, você gostaria de um cedo ,você gostaria de um selo ,would you like a seal 
875, E quanto ao problema alimentar?,E quanto ao problema alimentar?,And about the food problem?, e quanto ao problema alimentar ,e quanto ao problema alimentar ,and about the food problem 
876, muito provavelmente você já viu a mesma coisa,Muito provavelmente você já viu a mesma coisa.,Most likely you’ve already seen the same thing., muito provavelmente você já viu a mesma coisa,muito provavelmente você já viu a mesma coisa ,most likely you ve already seen the same thing 
877, 5 mulheres envolvidas em um jogo de futebol,Cinco mulheres envolvidas em um jogo de futebol.,Five women engaged in a soccer game., 5 mulheres envolvidas em um jogo de futebol,cinco mulheres envolvidas em um jogo de futebol ,five women engaged in a soccer game 
878, Dois jovens sentados em uma mesa e sorrindo.,Dois jovens sentados em uma mesa e sorrindo.,Two young men sitting in a table and laughing., dois jovens sentados em uma mesa e sorrindo ,dois jovens sentados em uma mesa e sorrindo ,two young men sitting in a table and laughing 
879, Um homem e uma mulher sentados em uma mesa.,Um homem e uma mulher sentada em uma mesa.,A man and a woman sitting in a table., um homem e uma mulher sentados em uma mesa ,um homem e uma mulher sentada em uma mesa ,a man and a woman sitting in a table 
880, Uma criança usa um jumper vermelho enquanto segura três brinquedos da Pixar.,Uma criança usa um jumper vermelho enquanto segura três brinquedos da Pixar.,A child using a red jumper while holding three Pixar toys., uma criança usa um jumper vermelho enquanto segura três brinquedos da pixar ,uma criança usa um jumper vermelho enquanto segura três brinquedos da pixar ,a child using a red jumper while holding three pixar toys 
881," Garotas entradas de banho, de mãos dadas e pulando na água.",Garotas em trajes de banho? de mãos dadas e pulando na água.,Girls in swimsuits holding hands and jumping in the water., garotas entradas de banho de mãos dadas e pulando na água ,garotas em trajes de banho de mãos dadas e pulando na água ,girls in swimsuits holding hands and jumping in the water 
882, Uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha.,"Uma mulher está sendo perseguida por uma criança na praia, enquanto um homem olha.","A woman is being chased by a kid on the beach, while a man looks.", uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha ,uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha ,a woman is being chased by a kid on the beach while a man looks 
883, Uma mulher batendo algo com uma corrocha com uma cobaia no fundo.,Uma mulher batendo algo com uma rocha? com uma cobaia no fundo.,"A woman hitting something with a rock, with a guinea pig in the background.", uma mulher batendo algo com uma corrocha com uma cobaia no fundo ,uma mulher batendo algo com uma rocha com uma cobaia no fundo ,a woman hitting something with a rock with a guinea pig in the background 
884," Existe um grupo identificado de especialistas que a representam, que acreditam e transmitem?","Existe um grupo identificável de especialistas que a representam, que acreditam e transmitem?","Is there an identifiable group of experts that represent you, trust you and transmit you?", existe um grupo identificado de especialistas que a representam que acreditam e transmitem ,existe um grupo identificável de especialistas que a representam que acreditam e transmitem ,is there an identifiable group of experts that represent you trust you and transmit you 
885, Um homem montando um cavalo em um rodelho.,Um homem montando um cavalo em um rodeio.,A man riding a house in a rodeo., um homem montando um cavalo em um rodelho ,um homem montando um cavalo em um rodeio ,a man riding a house in a rodeo 
886," Dano sofrido faz você saber, mas raramente rico.","Dano sofrido faz você saber, mas raramente rico.","The damage you suffer can make you wiser, but rarely richer.", dano sofrido faz você saber mas raramente rico ,dano sofrido faz você saber mas raramente rico ,the damage you suffer can make you wiser but rarely richer 
887, Nenhuma dúvida sobre o modo como o vento sopra.,Nenhuma dúvida sobre o modo como o vento sopra.,No doubts about how the wind blows;, nenhuma dúvida sobre o modo como o vento sopra ,nenhuma dúvida sobre o modo como o vento sopra ,no doubts about how the wind blows 
888, O equinócio de outono caiu diretamente em seu aniversário.,O equinócio de outono caiu diretamente em seu aniversário.,The autumn equinox fell right on his birthday., o equinócio de outono caiu diretamente em seu aniversário ,o equinócio de outono caiu diretamente em seu aniversário ,the autumn equinox fell right on his birthday 
889, Um jovem rapaz caindo na neve com outro menino no fundo.,um jovem rapaz caindo na neve com outro menino no fundo,A young boy falling in the snow with another boy in the background., um jovem rapaz caindo na neve com outro menino no fundo ,um jovem rapaz caindo na neve com outro menino no fundo,a young boy falling in the snow with another boy in the background 
890, Porque esse pesquisador não pode checar seus fatos.,Por que esse pesquisador não pode checar seus fatos?,Why can’t that researcher check his facts?, porque esse pesquisador não pode checar seus fatos ,por que esse pesquisador não pode checar seus fatos ,why can t that researcher check his facts 
891, Todos nós esperamos que o esteja certo.,Todos nós esperamos que eu esteja certo.,We all hope that I’m right., todos nós esperamos que o esteja certo ,todos nós esperamos que eu esteja certo ,we all hope that i m right 
892, Uma rapariga com uma camisa roxa molha a grama.,Uma rapariga com uma camisa roxa? molha a grama.,A girl with a purple shirt waters the lawn., uma rapariga com uma camisa roxa molha a grama ,uma rapariga com uma camisa roxa molha a grama ,a girl with a purple shirt waters the lawn 
893, Uma rapariga vestiu-se na roupa asiática tradicional que come uma refeição.,Uma rapariga vestiu-se na roupa asiática tradicional que come uma refeição.,A girl wearing traditional Asian clothing eats a meal., uma rapariga vestiu se na roupa asiática tradicional que come uma refeição ,uma rapariga vestiu se na roupa asiática tradicional que come uma refeição ,a girl wearing traditional asian clothing eats a meal 
894, Um cão salta sobre uma cerca de arame em uma pastagem seca.,Um cão salta sobre uma cerca de arame em uma pastagem seca.,A dog jumps over a wire fence in a dry pasture., um cão salta sobre uma cerca de arame em uma pastagem seca ,um cão salta sobre uma cerca de arame em uma pastagem seca ,a dog jumps over a wire fence in a dry pasture 
895, A bobina da primária tem 50 voltas.,A bobina primária tem cinquenta voltas.,The primary coil has fifty laps., a bobina da primária tem 50 voltas ,a bobina primária tem cinquenta voltas ,the primary coil has fifty laps 
896, Mas eu tive que fazer isso.,Mas eu tive que fazer isso.,But I had to do it., mas eu tive que fazer isso ,mas eu tive que fazer isso ,but i had to do it 
897, Essa tua família está jantando!,Esta família está jantando.,That family is having dinner., essa tua família está jantando ,esta família está jantando ,that family is having dinner 
898, Essa tomografia embaçada não me ajuda muito com diagnóstico.,Essa tomografia embaçada não me ajuda muito com o diagnóstico.,This blurry CAT scan doesn’t help me a lot with the diagnostic., essa tomografia embaçada não me ajuda muito com diagnóstico ,essa tomografia embaçada não me ajuda muito com o diagnóstico ,this blurry cat scan doesn t help me a lot with the diagnostic 
899, Dois crianças estão vendo uma bolha gigante flutuar pelo ar.,Duas crianças estão vendo uma bolha gigante flutuar pelo ar.,Two kids are looking at a giant bubble floating through the air., dois crianças estão vendo uma bolha gigante flutuar pelo ar ,duas crianças estão vendo uma bolha gigante flutuar pelo ar ,two kids are looking at a giant bubble floating through the air 
900, Ele elogia o mar e foge dele.,Ele elogia o mar e foge dele.,He compliments the sea and runs away from it., ele elogia o mar e foge dele ,ele elogia o mar e foge dele ,he compliments the sea and runs away from it 
901," No que não foi acordado neste acordo, as novas gerais são aplicáveis.","No que não foi acordado neste acordo, as normas gerais são aplicáveis.","Regarding what was not agreed in this agreement, the general rules apply.", no que não foi acordado neste acordo as novas gerais são aplicáveis ,no que não foi acordado neste acordo as normas gerais são aplicáveis ,regarding what was not agreed in this agreement the general rules apply 
902," As atividades serão realizadas em toda a Catalunha, tanto pessoalmente como no hiper-espaço.","As atividades serão realizadas em toda a Catalunha, tanto pessoalmente como no hiperespaço.","The activities will be carried out throughout Catalonia, both personally and in hyperspace.", as atividades serão realizadas em toda a catalunha tanto pessoalmente como no hiper espaço ,as atividades serão realizadas em toda a catalunha tanto pessoalmente como no hiperespaço ,the activities will be carried out throughout catalonia both personally and in hyperspace 
903, Dois mulheres vestindo saias curtas e sapatos de gesto alto alto falando com um homem.,Duas mulheres vestindo saias curtas e sapatos de salto alto falando com um homem.,Two women wearing mini skirts and high heels talking with a man., dois mulheres vestindo saias curtas e sapatos de gesto alto alto falando com um homem ,duas mulheres vestindo saias curtas e sapatos de salto alto falando com um homem ,two women wearing mini skirts and high heels talking with a man 
904, O que você quer que eu diga?,O que você quer que eu diga?,What do you want me to say?, o que você quer que eu diga ,o que você quer que eu diga ,what do you want me to say 
905, Uma mulher está selecionando alimentos frescos de um mercado ao ar livre.,Uma mulher está selecionando alimentos frescos de um mercado ao ar livre.,A woman is picking fresh groceries from an outdoor market., uma mulher está selecionando alimentos frescos de um mercado ao ar livre ,uma mulher está selecionando alimentos frescos de um mercado ao ar livre ,a woman is picking fresh groceries from an outdoor market 
906," Em nosso caminho para São Francisco, estávamos ouvindo música reggae e fumando maconha.","Em nosso caminho para São Francisco, estávamos ouvindo música reggae e fumando maconha.","On our way to San Francisco, we were listening to reggae music and smoking pot.", em nosso caminho para são francisco estávamos ouvindo música reggae e fumando maconha ,em nosso caminho para são francisco estávamos ouvindo música reggae e fumando maconha ,on our way to san francisco we were listening to reggae music and smoking pot 
907, Um homem de camisa preta está cantando em um microfone.,um homem de camisa preta está cantando em um microfone.,A man in a black shirt is singing into a microphone., um homem de camisa preta está cantando em um microfone ,um homem de camisa preta está cantando em um microfone ,a man in a black shirt is singing into a microphone 
908, Uma pessoa asiática mais velha mistura vegetais em uma grande cuba.,Uma pessoa asiática mais velha mistura vegetais em uma grande cuba,An older Asian lady is mixing vegetables in a large vat., uma pessoa asiática mais velha mistura vegetais em uma grande cuba ,uma pessoa asiática mais velha mistura vegetais em uma grande cuba,an older asian lady is mixing vegetables in a large vat 
909, Duas mulheres caminhando em uma área de indigência.,duas mulheres caminhando em uma área de indigência.,Two women walking in a poor neighborhood., duas mulheres caminhando em uma área de indigência ,duas mulheres caminhando em uma área de indigência ,two women walking in a poor neighborhood 
910, Uma menina dança na calçada.,Uma menina dança na calçada.,A girl dances on the sidewalk., uma menina dança na calçada ,uma menina dança na calçada ,a girl dances on the sidewalk 
911," O menino pulou também, mas longe do alquimista.","O menino pulou também?, mas longe do alquimista.","The boy jumped too, but farther away from the alchemist.", o menino pulou também mas longe do alquimista ,o menino pulou também mas longe do alquimista ,the boy jumped too but farther away from the alchemist 
912, Uma família andando pela rua.,Uma família andando pela rua.,A family walking down the street., uma família andando pela rua ,uma família andando pela rua ,a family walking down the street 
913, Ela cantou enquanto derramava limonada por toda a bancada.,Ela cantou enquanto derramava limonada por toda a bancada.,He sang while he spilled lemonade all across the bench., ela cantou enquanto derramava limonada por toda a bancada ,ela cantou enquanto derramava limonada por toda a bancada ,he sang while he spilled lemonade all across the bench 
914," Particularmente, meu cuscuz cortado eu gosto de comer bem, em vez de gregado.","Particularmente, meu cuscuz cortado eu gosto de comer bem, em vez de grelhado.","I actually prefer to eat my sliced couscous as it is, instead of grilled.", particularmente meu cuscuz cortado eu gosto de comer bem em vez de gregado ,particularmente meu cuscuz cortado eu gosto de comer bem em vez de grelhado ,i actually prefer to eat my sliced couscous as it is instead of grilled 
915, De acordo com a receita precisamos de uma mostarda leve.,"De acordo com a receita?, precisamos de mostarda leve.","According to the recipe, we need light mustard.", de acordo com a receita precisamos de uma mostarda leve ,de acordo com a receita precisamos de mostarda leve ,according to the recipe we need light mustard 
916, Não seja bobo.,Não seja bobo.,Don’t be silly., não seja bobo ,não seja bobo ,don t be silly 
917, Ele diz que não poderia ter lhe dado a melhor com isso.,Ele disse que não poderia ter lidado melhor com isso.,He said that he couldn’t have handled it better., ele diz que não poderia ter lhe dado a melhor com isso ,ele disse que não poderia ter lidado melhor com isso ,he said that he couldn t have handled it better 
918, Algo mais velho que a humanidade é mais antigo que o deserto.,Algo mais velho que a humanidade é mais antigo que o deserto.,Something older that mankind is older than the desert., algo mais velho que a humanidade é mais antigo que o deserto ,algo mais velho que a humanidade é mais antigo que o deserto ,something older that mankind is older than the desert 
919, Esta frase está no meu ouvido.,Esta frase está no meu ouvido,This phrase is in my ear, esta frase está no meu ouvido ,esta frase está no meu ouvido,this phrase is in my ear
920, Fogões em chamas e televisores não são tão incomuns quando se poderia pensar.,Fogões em chamas e televisores não são tão incomuns quanto se poderia pensar.,Burning stoves and television sets are not as uncommon are one might think., fogões em chamas e televisores não são tão incomuns quando se poderia pensar ,fogões em chamas e televisores não são tão incomuns quanto se poderia pensar ,burning stoves and television sets are not as uncommon are one might think 
921, Eu sei aprender.,Eu sei aprender,I know how to learn., eu sei aprender ,eu sei aprender,i know how to learn 
922," Roger, a equipe de backup está a caminho.","Roger?, a equipe de backup está a caminho.","Roger, the backup crew is on their way.", roger a equipe de backup está a caminho ,roger a equipe de backup está a caminho ,roger the backup crew is on their way 
923, O Debian é um sistema operacional que é livre como em liberdade.,O Debian é um sistema operacional que é livre como em liberdade.,"Debian is an operating system that is free, as in freedom.", o debian é um sistema operacional que é livre como em liberdade ,o debian é um sistema operacional que é livre como em liberdade ,debian is an operating system that is free as in freedom 
