,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
738, Estudantes universitários em um kegger.,Estudantes universitários em um kegger.,University students at a kegger., estudantes universitários em um kegger ,estudantes universitários em um kegger ,university students at a kegger 
739, Tenho medo que ela se sentisse envergonhada de pensar que não confiara em você.,Tenho medo que ela se sentisse envergonhada de pensar que não confiara em você.,I’m afraid that she will feel ashamed to think that she didn’t trust you., tenho medo que ela se sentisse envergonhada de pensar que não confiara em você ,tenho medo que ela se sentisse envergonhada de pensar que não confiara em você ,i m afraid that she will feel ashamed to think that she didn t trust you 
740, As pessoas estão se deslocando em torno de um cruzamento movimentado da cidade.,As pessoas estão se deslocando em torno de um cruzamento movimentado da cidade.,People are moving around a busy intersection of the city., as pessoas estão se deslocando em torno de um cruzamento movimentado da cidade ,as pessoas estão se deslocando em torno de um cruzamento movimentado da cidade ,people are moving around a busy intersection of the city 
741, O que sua família tem a dizer sobre isso?,O que sua família tem a dizer sobre isso?,What do your family has to say about that?, o que sua família tem a dizer sobre isso ,o que sua família tem a dizer sobre isso ,what do your family has to say about that 
742, Ele entende as forças da natureza.,Ele entende as forças da natureza.,He understands the forces of nature., ele entende as forças da natureza ,ele entende as forças da natureza ,he understands the forces of nature 
743, Pesquise por veículos baratos.,Pesquise por veículos baratos.,Search for cheap vehicles., pesquise por veículos baratos ,pesquise por veículos baratos ,search for cheap vehicles 
744, Três homens em um rio sujo.,Três homens em um rio sujo.,Three men in a dirty river., três homens em um rio sujo ,três homens em um rio sujo ,three men in a dirty river 
745, Emma bateu as unhas no celular.,Emma bateu as unhas no celular.,Emma tapped her fingernails on her cell phone., emma bateu as unhas no celular ,emma bateu as unhas no celular ,emma tapped her fingernails on her cell phone 
746, Vamos almoçar? Disse o mercador de cristal.,"""Vamos almoçar?"", disse o mercador de cristal.","“Let’s have lunch?”, said the crystal merchant.", vamos almoçar disse o mercador de cristal , vamos almoçar disse o mercador de cristal , let s have lunch said the crystal merchant 
747, Você está cometendo um erro.,Você está cometendo um erro.,You’re making a mistake., você está cometendo um erro ,você está cometendo um erro ,you re making a mistake 
748, Leve estas cápsulas para a casa da senhora David.,Leve estas cápsulas para a casa da Sra. David.,Take these capsules to Ms. David’s house., leve estas cápsulas para a casa da senhora david ,leve estas cápsulas para a casa da sra david ,take these capsules to ms david s house 
749, Eu estou meramente sendo um pouco mais circunspecto.,Eu estou meramente sendo um pouco mais circunspecto.,I’m simply being a little more circumspect., eu estou meramente sendo um pouco mais circunspecto ,eu estou meramente sendo um pouco mais circunspecto ,i m simply being a little more circumspect 
750, Um homem enterra uma bola de basquete na frente de uma multidão.,Um homem enterra uma bola de basquete na frente de uma multidão.,A man dunks a basketball in front of a crowd., um homem enterra uma bola de basquete na frente de uma multidão ,um homem enterra uma bola de basquete na frente de uma multidão ,a man dunks a basketball in front of a crowd 
751, Duas senhoras confusas que estão ao redor após um evento.,Duas senhoras confusas que estão ao redor após um evento.,Two confused ladies standing around after an event., duas senhoras confusas que estão ao redor após um evento ,duas senhoras confusas que estão ao redor após um evento ,two confused ladies standing around after an event 
752, A piscina estava cheia de cloro.,A piscina estava cheia de cloro.,The pool was full of bleach., a piscina estava cheia de cloro ,a piscina estava cheia de cloro ,the pool was full of bleach 
753, Um homem de terno está pulando e clicando em seus calcanhares juntos.,Um homem de terno está pulando e clicando em seus calcanhares juntos.,A man in a suit jumping and clicking his heels., um homem de terno está pulando e clicando em seus calcanhares juntos ,um homem de terno está pulando e clicando em seus calcanhares juntos ,a man in a suit jumping and clicking his heels 
754, Eu digo que é benigno porque não vai além do prato que enfrentamos.,Eu digo que é benigno porque não vai além do prato que enfrentamos.,I say it is benign because it doesn’t go beyond the plate we face., eu digo que é benigno porque não vai além do prato que enfrentamos ,eu digo que é benigno porque não vai além do prato que enfrentamos ,i say it is benign because it doesn t go beyond the plate we face 
755, O departamento de serviços de saúde depende da gestão de serviços de saúde.,O Departamento de Serviços de Saúde depende da Gestão de Serviços de Saúde.,The Department of Health Services relies on Health Services Management., o departamento de serviços de saúde depende da gestão de serviços de saúde ,o departamento de serviços de saúde depende da gestão de serviços de saúde ,the department of health services relies on health services management 
756, Não diz nada.,Não diz nada.,It doesn’t say anything., não diz nada ,não diz nada ,it doesn t say anything 
757, Um homem vestido de preto sintoniza uma guitarra elétrica preta.,Um homem vestido de preto sintoniza uma guitarra elétrica preta.,A man dress in black tunes a black electric guitar., um homem vestido de preto sintoniza uma guitarra elétrica preta ,um homem vestido de preto sintoniza uma guitarra elétrica preta ,a man dress in black tunes a black electric guitar 
758, O caso era intrigante para os velhos e sábios.,O caso era intrigante para os velhos e sábios.,The case was intriguing to the elderly and wise., o caso era intrigante para os velhos e sábios ,o caso era intrigante para os velhos e sábios ,the case was intriguing to the elderly and wise 
759, A grande da Sarina está jogando o cabelo ao redor.,A grande dançarina está jogando o cabelo ao redor,The great dancer is throwing her hair around., a grande da sarina está jogando o cabelo ao redor ,a grande dançarina está jogando o cabelo ao redor,the great dancer is throwing her hair around 
760, Duas pessoas conversando em uma doca.,Duas pessoas conversando em uma doca.,Two persons talking in a dock., duas pessoas conversando em uma doca ,duas pessoas conversando em uma doca ,two persons talking in a dock 
761, Sobre o que?,Sobre o que?,About what?, sobre o que ,sobre o que ,about what 
762, Adicione o artista aos meus duetos.,Adicione o artista aos meus Duetos.,Add an artist to my Duets., adicione o artista aos meus duetos ,adicione o artista aos meus duetos ,add an artist to my duets 
763, Uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada.,Uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada.,An electric scooter stands outside an electric advertising sign., uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada ,uma scooter elétrica fica do lado de fora de uma placa de propaganda iluminada ,an electric scooter stands outside an electric advertising sign 
764, Eu sempre disse isso.,Eu sempre disse isso.,I always said that., eu sempre disse isso ,eu sempre disse isso ,i always said that 
765, Nós precisamos conversar.,Nós precisamos conversar.,We need to talk., nós precisamos conversar ,nós precisamos conversar ,we need to talk 
766, tudo que eu digo é cuspi-los,Tudo que eu digo é cuspi-los!,All I say is spit it all out!, tudo que eu digo é cuspi los,tudo que eu digo é cuspi los ,all i say is spit it all out 
767, Quatro jovens adultos se reuniram ao ar livre.,Quatro jovens adultos se reuniram ao ar livre,Four young adults gathered outside., quatro jovens adultos se reuniram ao ar livre ,quatro jovens adultos se reuniram ao ar livre,four young adults gathered outside 
768, Uma senhora de branco senta-se num tapete com uma bola na mão.,Uma senhora de branco senta-se num tapete com uma bola na mão.,A lady in white sits on a rug with a ball in her hand., uma senhora de branco senta se num tapete com uma bola na mão ,uma senhora de branco senta se num tapete com uma bola na mão ,a lady in white sits on a rug with a ball in her hand 
769," Bem, o que é isso?","Bem, o que é isso?","Well, what is that?", bem o que é isso ,bem o que é isso ,well what is that 
770," Para fazer isso, não é necessário ser admirado, apenas aproveite.","Para fazer isso, não é necessário ser admirado, apenas aproveite.","To do that, it’s not necessary to be admired, just enjoy it.", para fazer isso não é necessário ser admirado apenas aproveite ,para fazer isso não é necessário ser admirado apenas aproveite ,to do that it s not necessary to be admired just enjoy it 
771, O estranho pareceu satisfeito com a resposta.,O estranho pareceu satisfeito com a resposta.,The stranger seemed happy with the answer., o estranho pareceu satisfeito com a resposta ,o estranho pareceu satisfeito com a resposta ,the stranger seemed happy with the answer 
772, Controlar um processo mestre de multiplexação de conexão ativa.,Controlar um processo mestre de multiplexação de conexão ativa.,Controlling a master process of active connection multiplexing., controlar um processo mestre de multiplexação de conexão ativa ,controlar um processo mestre de multiplexação de conexão ativa ,controlling a master process of active connection multiplexing 
773, Cão branco brincando na neve.,Cão branco brincando na neve.,White god playing in the snow., cão branco brincando na neve ,cão branco brincando na neve ,white god playing in the snow 
774, No osso a carne é suficiente.,"No osso, a carne é suficiente.","On the bone, flesh is enough.", no osso a carne é suficiente ,no osso a carne é suficiente ,on the bone flesh is enough 
775, Saltos rápidos raramente são atingidos.,Saltos rápidos raramente são atingidos.,Quick jumps are rarely accomplished., saltos rápidos raramente são atingidos ,saltos rápidos raramente são atingidos ,quick jumps are rarely accomplished 
776, Quantos anos tem Ellie Goulding?,Quantos anos tem Ellie Goulding?,How old is Ellie Goulding?, quantos anos tem ellie goulding ,quantos anos tem ellie goulding ,how old is ellie goulding 
777," Apenas em pé, em silêncio.",Apenas em pé em silêncio,Just standing in silence., apenas em pé em silêncio ,apenas em pé em silêncio,just standing in silence 
778, A enfermeira andou pela enfermaria.,A enfermeira andou pela enfermaria.,The nurse walked through the infirmary., a enfermeira andou pela enfermaria ,a enfermeira andou pela enfermaria ,the nurse walked through the infirmary 
779, Pode solicitar participação.,Pode solicitar participação,Can request participation., pode solicitar participação ,pode solicitar participação,can request participation 
780, Não seja padeiro se sua cabeça for de manteiga.,Não seja padeiro se a sua cabeça for de manteiga.,Don't be a baker if your head is made of butter., não seja padeiro se sua cabeça for de manteiga ,não seja padeiro se a sua cabeça for de manteiga ,don t be a baker if your head is made of butter 
781, A universidade não aceita alunos com notas baixas.,A universidade não aceita alunos com notas baixa.,The university doesn’t accept students with low grades., a universidade não aceita alunos com notas baixas ,a universidade não aceita alunos com notas baixa ,the university doesn t accept students with low grades 
782, Agora você vai se aposentar para chegar a um veredito.,Agora você vai se aposentar para chegar a um veredicto.,Now you will retire to reach a verdict., agora você vai se aposentar para chegar a um veredito ,agora você vai se aposentar para chegar a um veredicto ,now you will retire to reach a verdict 
783, pensou na filha do mercador e tinha certeza de que ela provavelmente se casara,Pensou na filha do mercador? e tinha certeza de que ela provavelmente se casara.,"He though about the merchant’s daughter, and he was certain that she probably got married.", pensou na filha do mercador e tinha certeza de que ela provavelmente se casara,pensou na filha do mercador e tinha certeza de que ela provavelmente se casara ,he though about the merchant s daughter and he was certain that she probably got married 
784, Mas o menino estava certo de que ele estava olhando para eles.,Mas o menino estava certo de que ele estava olhando para eles.,But the boy was sure that he was looking at them., mas o menino estava certo de que ele estava olhando para eles ,mas o menino estava certo de que ele estava olhando para eles ,but the boy was sure that he was looking at them 
785, Ela não conseguia encontrar energia para comentar sobre tudo.,Ela não conseguia encontrar energia para comentar sobre tudo.,She didn’t find the energy to talk about everything., ela não conseguia encontrar energia para comentar sobre tudo ,ela não conseguia encontrar energia para comentar sobre tudo ,she didn t find the energy to talk about everything 
786, O envio em grandes quantidades é muito popular.,O envio em grandes quantidades é muito popular.,Bulk shipping is very popular., o envio em grandes quantidades é muito popular ,o envio em grandes quantidades é muito popular ,bulk shipping is very popular 
787, Que tipo de aparição é essa?,Que tipo de aparição é essa?,What kind of apparition is that?, que tipo de aparição é essa ,que tipo de aparição é essa ,what kind of apparition is that 
788, Uma mulher em um vestido elegante está posando na frente de uma árvore tropical.,Uma mulher em um vestido elegante está posando na frente de uma árvore tropical.,A woman in a fancy dress is posing in front of a tropical tree., uma mulher em um vestido elegante está posando na frente de uma árvore tropical ,uma mulher em um vestido elegante está posando na frente de uma árvore tropical ,a woman in a fancy dress is posing in front of a tropical tree 
789," Muito bem, ele respondeu.",Muito bem? ”ele respondeu.,"“Very well”, he replied.", muito bem ele respondeu ,muito bem ele respondeu , very well he replied 
790," Uma mulher mais velha, soprando as velas em um bolo.",Uma mulher mais velha? soprando as velas em um bolo.,An older woman blowing candles in a cake., uma mulher mais velha soprando as velas em um bolo ,uma mulher mais velha soprando as velas em um bolo ,an older woman blowing candles in a cake 
791, Os diabéticos devem sempre manter uma seringa de insulina à mão.,Os diabéticos devem sempre manter uma seringa de insulina à mão.,People diagnosed with diabetes should always keep a syringe with insulin at hand., os diabéticos devem sempre manter uma seringa de insulina à mão ,os diabéticos devem sempre manter uma seringa de insulina à mão ,people diagnosed with diabetes should always keep a syringe with insulin at hand 
792," Em uma cidade asiática movimentada, duas mulheres andam e conversam juntas.","Em uma cidade asiática movimentada, duas mulheres andam e conversam juntas.","In a busy Asian city, two women walk and talk together.", em uma cidade asiática movimentada duas mulheres andam e conversam juntas ,em uma cidade asiática movimentada duas mulheres andam e conversam juntas ,in a busy asian city two women walk and talk together 
793, O número total no Congresso será de pelo menos 390.,O número total no congresso será de pelo menos trezentos e noventa.,The total number at the congress will be at least three hundred and ninety., o número total no congresso será de pelo menos 390 ,o número total no congresso será de pelo menos trezentos e noventa ,the total number at the congress will be at least three hundred and ninety 
794," Veja, Emmanuel atravessando a rua.",Veja! Há Manuel atravessando a rua.,See Manuel crossing the street., veja emmanuel atravessando a rua ,veja há manuel atravessando a rua ,see manuel crossing the street 
795, Interpretar instruções extensas e complexas relacionadas ao campo profissional.,"Interpretar instruções extensas e complexas, relacionadas ao campo profissional.","Interpreting long and complex instructions, related to the professional field.", interpretar instruções extensas e complexas relacionadas ao campo profissional ,interpretar instruções extensas e complexas relacionadas ao campo profissional ,interpreting long and complex instructions related to the professional field 
796, Você já esteve em Singapura?,Você já esteve em Singapura?,Have you been to Singapore?, você já esteve em singapura ,você já esteve em singapura ,have you been to singapore 
797, Você deveria ter aprendido que miniaturas com mulheres usando decote são apenas iscas.,Você deveria ter aprendido que miniaturas com mulheres usando decotes são apenas iscas.,You should have learned that miniatures of women using cleavage are simply baits., você deveria ter aprendido que miniaturas com mulheres usando decote são apenas iscas ,você deveria ter aprendido que miniaturas com mulheres usando decotes são apenas iscas ,you should have learned that miniatures of women using cleavage are simply baits 
798, Eu não estou com pressa.,Eu não estou com pressa.,I’m not in a hurry., eu não estou com pressa ,eu não estou com pressa ,i m not in a hurry 
799, A taça se quebrou e derramou seu conteúdo.,A taça se quebrou e derramou seu conteúdo.,The glass broke and spilled its contents., a taça se quebrou e derramou seu conteúdo ,a taça se quebrou e derramou seu conteúdo ,the glass broke and spilled its contents 
800, O Gilvio assistiu até 1 e depois desistiu.,Ogilvy assistiu até um e depois desistiu.,Ogilvy saw up to one and then gave up., o gilvio assistiu até 1 e depois desistiu ,ogilvy assistiu até um e depois desistiu ,ogilvy saw up to one and then gave up 
801, E eu acho ótimo.,E eu acho ótimo!,I think it’s great!, e eu acho ótimo ,e eu acho ótimo ,i think it s great 
802, Todos os cidadãos e aqueles que visitam a nossa cidade estão estudando ou trabalhando lá.,Todos os cidadãos e aqueles que visitam nossa cidade estão estudando ou trabalhando lá.,All citizens and those that visit our city are studying or working there., todos os cidadãos e aqueles que visitam a nossa cidade estão estudando ou trabalhando lá ,todos os cidadãos e aqueles que visitam nossa cidade estão estudando ou trabalhando lá ,all citizens and those that visit our city are studying or working there 
803," O bonde chegará em 5 minutos, a menos que este horário esteja errado.","O bonde chegará em cinco minutos, a menos que este horário esteja errado.","The cable car will arrive in five minutes, unless this timetable is wrong.", o bonde chegará em 5 minutos a menos que este horário esteja errado ,o bonde chegará em cinco minutos a menos que este horário esteja errado ,the cable car will arrive in five minutes unless this timetable is wrong 
804," Temo que este evento seja apenas por convite, senhor.",Temo que este evento seja apenas por convite? senhor.,I’m afraid that this event is by invitation only sir., temo que este evento seja apenas por convite senhor ,temo que este evento seja apenas por convite senhor ,i m afraid that this event is by invitation only sir 
805," Ano chuvoso, agricultor feliz.","Ano chuvoso, agricultor feliz.","Rainy year, happy farmer.", ano chuvoso agricultor feliz ,ano chuvoso agricultor feliz ,rainy year happy farmer 
806, Estas são passagens relacionadas ao sacramento da Eucaristia.,Estas são passagens relacionadas ao sacramento da Eucaristia.,These are the quotes related to the sacrament of the Eucharist., estas são passagens relacionadas ao sacramento da eucaristia ,estas são passagens relacionadas ao sacramento da eucaristia ,these are the quotes related to the sacrament of the eucharist 
807, Sons de bateria ecoaram pelos corredores do dormitório.,Sons de bateria ecoaram pelos corredores do dormitório.,Drum sounds echoed through the halls of the dorm., sons de bateria ecoaram pelos corredores do dormitório ,sons de bateria ecoaram pelos corredores do dormitório ,drum sounds echoed through the halls of the dorm 
808, Algumas pessoas andando na distância de uma pequena cidade.,Algumas pessoas andando na distância de uma pequena cidade.,Some people walking in the distance in a small town., algumas pessoas andando na distância de uma pequena cidade ,algumas pessoas andando na distância de uma pequena cidade ,some people walking in the distance in a small town 
809, Palavras furiosas abandonam o fogo como o vento.,Palavras furiosas abanam o fogo como o vento.,Angry words stir the fire like the wind., palavras furiosas abandonam o fogo como o vento ,palavras furiosas abanam o fogo como o vento ,angry words stir the fire like the wind 
810," Da mesma forma, uma patente pode impedir que concorrentes desenvolvam produtos similares.","Da mesma forma, uma patente pode impedir que concorrentes desenvolvam produtos similares.","In this way, a patent can prevent the competitors from developing similar products.", da mesma forma uma patente pode impedir que concorrentes desenvolvam produtos similares ,da mesma forma uma patente pode impedir que concorrentes desenvolvam produtos similares ,in this way a patent can prevent the competitors from developing similar products 
811, Um homem deprimido sentado em um trem do metrô.,Um homem deprimido sentado em um trem do metrô.,A depressed man sitting in a subway train., um homem deprimido sentado em um trem do metrô ,um homem deprimido sentado em um trem do metrô ,a depressed man sitting in a subway train 
812, Parece um mercado de agricultores? Algumas tabelas com vários itens exibidos.,Parece um mercado de agricultores? algumas tabelas com vários itens exibidos.,It looks like a farmers market. Some tables with several items exhibited., parece um mercado de agricultores algumas tabelas com vários itens exibidos ,parece um mercado de agricultores algumas tabelas com vários itens exibidos ,it looks like a farmers market some tables with several items exhibited 
813," De acordo com a receita, precisamos de mostarda leve.","De acordo com a receita, precisamos de mostarda leve.",According to the recipe we need light mustard., de acordo com a receita precisamos de mostarda leve ,de acordo com a receita precisamos de mostarda leve ,according to the recipe we need light mustard 
814," Finalmente, duas coisas se destacam.","Finalmente, duas coisas se destacam.","Finally, two things stand out.", finalmente duas coisas se destacam ,finalmente duas coisas se destacam ,finally two things stand out 
815, Um cowboy disputa um bezerro em um rodeio.,Um cowboy disputa um bezerro em um rodeio.,A cowboy rides a calf at a rodeo., um cowboy disputa um bezerro em um rodeio ,um cowboy disputa um bezerro em um rodeio ,a cowboy rides a calf at a rodeo 
816, Um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador.,Um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador.,A blond boy wearing a green shirt running after a flying toy., um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador ,um menino loiro vestindo uma camisa verde está correndo atrás de um brinquedo voador ,a blond boy wearing a green shirt running after a flying toy 
817, Há um motociclista andando de bicicleta à noite pelas ruas.,Há um motociclista andando de bicicleta à noite pelas ruas.,There's a biker riding his bike at night through the streets., há um motociclista andando de bicicleta à noite pelas ruas ,há um motociclista andando de bicicleta à noite pelas ruas ,there s a biker riding his bike at night through the streets 
818, Duas mulheres trabalham em seus laptops.,Duas mulheres trabalham em seus laptops.,Two women work on their laptops., duas mulheres trabalham em seus laptops ,duas mulheres trabalham em seus laptops ,two women work on their laptops 
819," O velho burro não se alonga, mas entende.","O velho burro não se alonga, mas entende.","The old donkey doesn't stretch, but understands.", o velho burro não se alonga mas entende ,o velho burro não se alonga mas entende ,the old donkey doesn t stretch but understands 
820, Como isso aconteceu?,Como isso aconteceu?,How did this happen?, como isso aconteceu ,como isso aconteceu ,how did this happen 
821, Dois socorristas estão tratando um paciente ao ar livre.,Dois socorristas estão tratando um paciente ao ar livre.,Two rescuers treating a patient out in the open., dois socorristas estão tratando um paciente ao ar livre ,dois socorristas estão tratando um paciente ao ar livre ,two rescuers treating a patient out in the open 
822, Os homens estão trabalhando em bicicletas em uma oficina.,Os homens estão trabalhando em bicicletas em uma oficina,The men are working on bicycles in a shop., os homens estão trabalhando em bicicletas em uma oficina ,os homens estão trabalhando em bicicletas em uma oficina,the men are working on bicycles in a shop 
823, Pessoas às compras em uma loja,Pessoas às compras em uma loja.,People shopping in a store., pessoas às compras em uma loja,pessoas às compras em uma loja ,people shopping in a store 
824, Uma mulher ajudando outra mulher com um site e um computador.,Uma mulher ajudando outra mulher com um site em um computador.,A woman helping another woman with a website in a computer., uma mulher ajudando outra mulher com um site e um computador ,uma mulher ajudando outra mulher com um site em um computador ,a woman helping another woman with a website in a computer 
825, Você sabe onde ela mora?,Você sabe onde ela mora?,Do you know where she lives?, você sabe onde ela mora ,você sabe onde ela mora ,do you know where she lives 
826, Seu solo de saxofone foi incrível.,Seu solo de saxofone foi incrível.,Your saxophone solo was amazing., seu solo de saxofone foi incrível ,seu solo de saxofone foi incrível ,your saxophone solo was amazing 
827, Eu só sei agora.,Eu só sei agora.,I only know now., eu só sei agora ,eu só sei agora ,i only know now 
828, Vitória nasceu no 19º ano 70.,Victoria nasceu no décimo nono anos setenta.,Victoria was born on the 1970’s., vitória nasceu no 19o ano 70 ,victoria nasceu no décimo nono anos setenta ,victoria was born on the 1970 s 
829," Desporto, associativismo",Desporto. Associativismo.,Sport. Associativism., desporto associativismo,desporto associativismo ,sport associativism 
830, O que você quer?,O que você quer?,What do you want?, o que você quer ,o que você quer ,what do you want 
831, Amanhã participando da conferência de imprensa do projeto.,Manhã participando da conferência de imprensa do projeto,Morning working at the project’s press conference., amanhã participando da conferência de imprensa do projeto ,manhã participando da conferência de imprensa do projeto,morning working at the project s press conference 
832, Obter um certificado de trabalho válido.,Obter um certificado de trabalho válido,Obtain a valid work permit., obter um certificado de trabalho válido ,obter um certificado de trabalho válido,obtain a valid work permit 
833, Nós limpamos o tabuleiro.,Nós limpamos o tabuleiro.,We cleaned the board., nós limpamos o tabuleiro ,nós limpamos o tabuleiro ,we cleaned the board 
834, A agricultura foi uma conquista muito importante na história da humanidade.,A agricultura foi uma conquista muito importante na história da humanidade.,Agriculture was a very important achievement in the history of mankind., a agricultura foi uma conquista muito importante na história da humanidade ,a agricultura foi uma conquista muito importante na história da humanidade ,agriculture was a very important achievement in the history of mankind 
835, A loja é exatamente do tamanho que eu sempre quis que fosse.,A loja é exatamente do tamanho que eu sempre quis que fosse.,The store is exactly the size that I always wanted it to be., a loja é exatamente do tamanho que eu sempre quis que fosse ,a loja é exatamente do tamanho que eu sempre quis que fosse ,the store is exactly the size that i always wanted it to be 
836," Ele moveu cerca de... invisível, mas todos puderam ouvi-lo.","Ele moveu cerca de? invisível, mas todos puderam ouvi-lo.","He moved about? invisible, but everyone could hear him.", ele moveu cerca de invisível mas todos puderam ouvi lo ,ele moveu cerca de invisível mas todos puderam ouvi lo ,he moved about invisible but everyone could hear him 
837, Mozilla Firefox,Mozilla Firefox.,Mozilla Firefox., mozilla firefox,mozilla firefox ,mozilla firefox 
838," Isso é o que eu pensei também, mas pode não ser verdade.","Isso é o que eu pensei também?, mas pode não ser verdade.","That’s what I thought too, but that can’t be true.", isso é o que eu pensei também mas pode não ser verdade ,isso é o que eu pensei também mas pode não ser verdade ,that s what i thought too but that can t be true 
839," — Não ceda aos seus medos — disse o alquimista, em uma voz estranhamente gentil.","""Não ceda aos seus medos?"" disse o alquimista? em uma voz estranhamente gentil.","“Don’t give in to your fears”, said the alchemist, in a strangely kind voice.", não ceda aos seus medos disse o alquimista em uma voz estranhamente gentil , não ceda aos seus medos disse o alquimista em uma voz estranhamente gentil , don t give in to your fears said the alchemist in a strangely kind voice 
840, Três cães vão segurando um friso vermelho em pé na neve.,Três cães? um segurando um Frisbee vermelho? em pé na neve.,"Three dogs, one of them holding a red Frisbee, stand in the snow.", três cães vão segurando um friso vermelho em pé na neve ,três cães um segurando um frisbee vermelho em pé na neve ,three dogs one of them holding a red frisbee stand in the snow 
841," De onde você é, Roberto?",De onde você é Roberto.,Where are you from Roberto?, de onde você é roberto ,de onde você é roberto ,where are you from roberto 
842, Por que não procuramos em seus quartos?,Por que não procuramos em seus quartos?,Why don’t we look in their rooms?, por que não procuramos em seus quartos ,por que não procuramos em seus quartos ,why don t we look in their rooms 
843, Homem de cabelos castanhos segurando uma preguiça de brinquedo.,Homem de cabelos castanho segurando uma preguiça de brinquedo.,Brown-haired man holding a toy sloth., homem de cabelos castanhos segurando uma preguiça de brinquedo ,homem de cabelos castanho segurando uma preguiça de brinquedo ,brown haired man holding a toy sloth 
844, É comum encontrar problemas? Então leia atentamente as instruções.,"É comum encontrar problemas?, então leia atentamente as instruções.","It’s common to come across issues, so read the instructions carefully.", é comum encontrar problemas então leia atentamente as instruções ,é comum encontrar problemas então leia atentamente as instruções ,it s common to come across issues so read the instructions carefully 
845," Isso nos deixa, portanto, um campo bem definido em relação ao resto das passagens.","Isso nos deixa, portanto, um campo bem definido em relação ao resto das passagens.",This therefore leaves us a well-defined field regarding the rest of the tickets., isso nos deixa portanto um campo bem definido em relação ao resto das passagens ,isso nos deixa portanto um campo bem definido em relação ao resto das passagens ,this therefore leaves us a well defined field regarding the rest of the tickets 
846, Vocês falam ele vivo.,Você esfolou ele vivo.,You skinned him alive., vocês falam ele vivo ,você esfolou ele vivo ,you skinned him alive 
847, As crianças brincam na rua sobre um jato de água de uma máquina grande.,As crianças brincam na rua sob um jato de água de uma máquina grande.,Kids play on the street under a jet of water coming from a large machine., as crianças brincam na rua sobre um jato de água de uma máquina grande ,as crianças brincam na rua sob um jato de água de uma máquina grande ,kids play on the street under a jet of water coming from a large machine 
848, Fechar portão.,Fechar portão.,Close gate., fechar portão ,fechar portão ,close gate 
849, Faça uma busca no Google por gatos brancos.,Faça uma busca no Google por gatos brancos.,Do a Google search for white cats., faça uma busca no google por gatos brancos ,faça uma busca no google por gatos brancos ,do a google search for white cats 
850, Todo o desporto do país e do mundo está aqui.,Todo o desporto do país e do mundo está aqui.,All about sports in the country and the world is here., todo o desporto do país e do mundo está aqui ,todo o desporto do país e do mundo está aqui ,all about sports in the country and the world is here 
851, Ainda há muito tempo.,Ainda há muito tempo.,There’s still plenty of time., ainda há muito tempo ,ainda há muito tempo ,there s still plenty of time 
852, Uma silhueta de uma figura de paraquedas ao pôr do sol.,Uma silhueta de uma figura de paraquedas ao pôr do sol.,A silhouette of a figure in a parachute at sunset., uma silhueta de uma figura de paraquedas ao pôr do sol ,uma silhueta de uma figura de paraquedas ao pôr do sol ,a silhouette of a figure in a parachute at sunset 
853, Cruzando seus próprios amigos.,Cruzando seus próprios amigos.,Crossing their own friends., cruzando seus próprios amigos ,cruzando seus próprios amigos ,crossing their own friends 
854, Três melhores amigos que apreciam a vista de um lago.,Três melhores amigos que apreciam a vista de um lago.,Three best friends appreciating a lake view., três melhores amigos que apreciam a vista de um lago ,três melhores amigos que apreciam a vista de um lago ,three best friends appreciating a lake view 
855, Já é tarde demais.,Já é tarde demais.,It’s too late already., já é tarde demais ,já é tarde demais ,it s too late already 
856, Eu quero pagar a conta.,eu quero pagar a conta,I want to pay the bill., eu quero pagar a conta ,eu quero pagar a conta,i want to pay the bill 
857, Como devo saber?,Como devo saber?,How should I know?, como devo saber ,como devo saber ,how should i know 
858, Eles nunca vão nos fechar hoje.,Eles nunca vão nos fechar hoje!,They will never close us today!, eles nunca vão nos fechar hoje ,eles nunca vão nos fechar hoje ,they will never close us today 
859, É o trabalho mestre dos alquimistas.,É o trabalho mestre dos alquimistas.,It’s the master work of alchemists., é o trabalho mestre dos alquimistas ,é o trabalho mestre dos alquimistas ,it s the master work of alchemists 
860, Aprenda a tocar a cifra de hoje.,Aprenda a tocar a cifra de Hoje.,Learn to play the Today’s chords., aprenda a tocar a cifra de hoje ,aprenda a tocar a cifra de hoje ,learn to play the today s chords 
861, Minha namorada dormiu debaixo de uma árvore esta manhã.,Minha namorada dormiu debaixo de uma árvore esta manhã.,My girlfriend slept under a tree this morning., minha namorada dormiu debaixo de uma árvore esta manhã ,minha namorada dormiu debaixo de uma árvore esta manhã ,my girlfriend slept under a tree this morning 
862, Ele lembrou do passado.,Ele lembrou do passado.,He remembered the past., ele lembrou do passado ,ele lembrou do passado ,he remembered the past 
863, Desenhos das pequenas casas mais lindas que você já viu.,Dezenas das pequenas casas mais lindas que você já viu.,Dozens of the most beautiful small houses that you’ve ever seen., desenhos das pequenas casas mais lindas que você já viu ,dezenas das pequenas casas mais lindas que você já viu ,dozens of the most beautiful small houses that you ve ever seen 
